S1_QAgNO3(%),S1_Qpva(%),S1_Qtsc(%),S1_Qseed(%),S1_Qtot(uL/min),ST_QAgNO3(%),ST_Qpva(%),ST_Qtsc(%),ST_Qseed(%),ST_Qtot(uL/min)
0.31079409276171327,0.037810790234589796,0.4756908820592031,0.350877849234393,0.3688877937494775,0.5461677157379755,0.9388990397418518,0.46935716992884746,0.6028732533121106,0.5604936722042533
0.4712908833444448,0.061418084362033054,0.4281413619694582,0.4568882827399384,0.34728453433178275,0.6169419051228457,0.9540713261056166,0.5415870290903637,0.6769436329866895,0.6536888728640191
0.46882737035807964,0.03681464439758482,0.43619340894026853,0.45018754706454545,0.3563068073260327,0.6170935515591147,0.968287127380485,0.5003628756053201,0.6572938758646372,0.6748202605548412
0.4544999048476038,-0.011259537331008183,0.4422742777229935,0.30018908152782164,0.28515935009888027,0.5967547334144414,0.9992574165385372,0.5914247985501211,0.5858726940021226,0.7009750144337046
0.3523461900283373,0.07921554096024819,0.4554707085763198,0.3563674178245377,0.38663569025966904,0.5288843359291562,0.9189157743789598,0.5156298973988307,0.5897659754656515,0.6535054546702841
0.38502492523962606,0.04537364671994533,0.4854700288299918,0.43170244834139193,0.3582014131674286,0.6294969404066852,0.9309597503527312,0.5376700881645289,0.6525186955569136,0.6196975266945478
0.45857086726616386,0.07546117867244133,0.5140638838937205,0.39458428125576384,0.36665992386771495,0.6260834070927621,0.9274591273741564,0.5420921833175477,0.6292179601364714,0.5803514400111855
0.502382638761001,0.036321083500160396,0.4847834457965256,0.320781501310332,0.35271087550522545,0.6438902567518253,0.9669928254172387,0.5547332328739285,0.6034223349103559,0.6576579224875941
0.37581689852328015,0.08787238248002172,0.42889502102623306,0.45522002030110215,0.4288643890359426,0.5824618315305454,0.8933587329082554,0.47239174138216455,0.6592020790670952,0.6073640376758029
0.5339077908752227,0.03422911841666734,0.5039951706237439,0.3675256807431138,0.41466606871162565,0.6713462816223837,0.9568726590330934,0.5343609483144481,0.6067763678367519,0.6735709889164629
0.41413480372262007,0.03856946422611265,0.5039583514790188,0.4532994516574058,0.34766554205312056,0.6181599362521348,0.9543425487661091,0.5980962006687666,0.698117581195074,0.6852259895021555
